Bus_Line,Bus_type,Time,Seats,price
Haram / Downtown,Bus,8:00 AM,8,15
Moneeb / Nasr City,Bus,10:00 PM,8,15
Moneeb / Nasr City,Super jet,10:00 PM,11,20
Moneeb / Nasr City,Mini bus,10:00 PM,4,10
Moneeb / Nasr City,Bus,10 PM,3,15.00
Moneeb / Nasr City,Super jet,10 PM,20,20.00
Moneeb / Nasr City,Mini bus,10 PM,5,10.00
Moneeb / Nasr City,Mini bus,10 PM,7,10.00
Moneeb / Nasr City,Mini bus,10 PM,8,10.00
Moneeb / Nasr City,Bus,10 PM,12,15.00
Moneeb / Nasr City,Super jet,10 PM,6,20.00
Moneeb / Nasr City,Mini bus,10 PM,12,10.00
Haram / Downtown,Bus,10 PM,12;15,30.00
Haram / Downtown,Bus,8 AM,7,15.00
Haram / Downtown,Super jet,8 AM,41,20.00
Haram / Downtown,Mini bus,8 AM,10,10.00
Haram / Downtown,Bus,10 PM,11,15.00
Haram / Downtown,Super jet,10 PM,24,20.00
Haram / Downtown,Super jet,10 PM,6;5,40.00
Haram / Downtown,Bus,8 AM,4;3,30.00
Haram / Downtown,Mini bus,8 AM,10;7,20.00
Haram / Downtown,Bus,2 PM,22;18;14,45.00
